ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
177.92.1.38,servidor.informatica.inf.br.,14868,COPEL Telecomunicacoes S.A.,BR,Curitiba,,,false,0.17,2021-02-10T07:12:19Z,2020-12-12T05:17:26Z
177.220.163.150,150.163.220.177.dynamic.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,,,,false,0.41,2021-01-25T22:15:40Z,2020-12-12T05:17:49Z
200.195.132.210,210.132.195.200.static.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,Tibagi,dnsmasq-2.70,,false,0.47,2021-02-06T07:08:12Z,2020-12-12T05:18:46Z
200.195.154.122,122.154.195.200.static.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,Colombo,,,false,0.21,2021-01-26T12:19:05Z,2020-12-12T05:19:04Z
200.195.178.155,200-195-178-155.static.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,Araucária,,,false,0.31,2021-02-12T11:14:46Z,2020-12-12T05:19:16Z
201.39.214.142,,4230,CLARO S.A.,BR,Rio de Janeiro,,,false,0.67,2021-03-03T13:19:54Z,2015-01-06T01:24:13Z
187.33.230.114,114.230.33.187.in-addr.arpa.,53087,TELY Ltda.,BR,João Pessoa,,,false,0.79,2020-07-16T12:43:50Z,2015-01-06T22:19:11Z
189.124.138.68,www.nordestefomento.com.br.,28220,CABO SERVICOS DE TELECOMUNICACOES LTDA,BR,Natal,dnsmasq-2.22,,true,0.72,2021-03-03T12:34:27Z,2015-01-07T02:05:36Z
200.99.138.104,,10429,TELEFONICA BRASIL S.A,BR,,,,false,0.12,2021-03-03T12:34:19Z,2015-01-07T06:09:26Z
200.99.138.13,,10429,TELEFONICA BRASIL S.A,BR,,,,false,0.13,2021-03-03T13:21:10Z,2015-01-07T07:23:57Z
200.249.35.80,universidade.hebron.com.br.,4230,CLARO S.A.,BR,,9.4.1,,false,0.33,2021-02-19T04:14:04Z,2015-01-07T13:07:17Z
200.209.145.234,cafeserragrande.com.br.,4230,CLARO S.A.,BR,,unbound 1.10.1,,true,0.49,2021-03-03T12:33:26Z,2015-01-08T01:00:34Z
201.63.81.10,201-63-81-10.customer.tdatabrasil.net.br.,10429,TELEFONICA BRASIL S.A,BR,,,,false,0.51,2021-03-03T13:21:41Z,2015-01-08T22:36:10Z
187.75.155.116,187-75-155-116.dsl.telesp.net.br.,27699,TELEFONICA BRASIL S.A,BR,São José dos Campos,,,false,0.50,2020-07-14T16:09:55Z,2015-01-09T22:06:50Z
177.19.217.206,177.19.217.206.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Vitória,,,false,0.88,2021-03-03T13:19:42Z,2015-01-10T06:51:33Z
177.130.60.40,40-60-130-177.redewsp.com.br.,52747,Wsp Servicos de Telecomunicacoes Ltda,BR,Santarém,,,false,0.86,2021-03-03T09:32:09Z,2015-01-10T11:42:02Z
189.113.132.101,189-113-132-101.telecall.com.br.,52662,TELECALL TELECOMUNICACOES,BR,Rio de Janeiro,dnsmasq-2.52,,true,0.50,2020-07-14T16:11:02Z,2015-01-10T19:31:33Z
189.55.193.173,bd37c1ad.static.virtua.com.br.,28573,CLARO S.A.,BR,São Paulo,dnsmasq-2.40,,true,0.50,2020-07-14T16:11:50Z,2015-01-11T12:20:57Z
179.185.88.86,179.185.88.86.dynamic.adsl.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Campo Grande,,,false,0.78,2021-03-03T11:28:30Z,2015-01-12T14:53:33Z
168.196.40.154,168-196-40-154.provedorvisuallink.net.br.,265442,VISUAL LINK COMUNICACOES MULTIMIDIA LTDA - ME,BR,Recife,,,false,0.91,2021-03-03T12:38:01Z,2019-06-11T13:57:35Z
170.239.213.68,,266358,H NET SERVICOS DE COMUNICACAO E TECNOLOGIA LTDA,BR,Caruaru,,,false,0.66,2021-03-03T12:38:01Z,2019-06-11T13:57:35Z
177.124.247.2,dns1.informaker.com.br.,17222,Mundivox LTDA,BR,Belford Roxo,Microsoft DNS 6.1.7601 (1DB15F75),,false,0.82,2021-03-03T12:38:01Z,2019-06-11T13:57:35Z
177.155.135.81,177-155-135-81.gegnet.com.br.,53062,GGNET TELECOMUNICACOES LTDA,BR,Caçador,,,false,0.66,2021-03-03T12:38:01Z,2019-06-11T13:57:36Z
177.222.251.122,122.251.222.177.giganetbandalarga.com.br.,263405,GIGANET SERVICOS DE INTERNET LTDA ME,BR,Coronel Fabriciano,9.6-ESV-R11,,false,0.94,2021-03-03T12:38:35Z,2019-06-11T13:57:36Z
177.67.201.203,,52664,IHNOVECOM TELECOMUNICACOES E SERVICOS LTDA,BR,Balneário Camboriú,,,false,0.46,2021-03-03T12:36:48Z,2019-06-11T13:57:36Z
177.86.233.170,170.233.86.177.pwnet.com.br.,52578,Pw Access Telecomunicacoes Ltda,BR,Campinas,,,false,0.90,2021-03-03T12:36:46Z,2019-06-11T13:57:37Z
186.215.192.243,trackdata.243.static.host.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Santa Maria,,,false,0.74,2021-03-03T12:36:48Z,2019-06-11T13:57:37Z
200.205.150.210,200-205-150-210.brr.com.br.,10429,TELEFONICA BRASIL S.A,BR,São Paulo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.51,2021-03-03T12:36:55Z,2019-06-11T13:57:41Z
200.214.185.206,,4230,CLARO S.A.,BR,,,,false,0.76,2021-03-03T12:38:09Z,2019-06-11T13:57:41Z
200.220.192.88,dnsrjbr02.internexa.com.br.,262589,INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A,BR,Itaborai,9.8.2rc1-RedHat-9.8.2-0.68.rc1.el6_10.3,,true,0.89,2021-03-03T12:36:39Z,2019-06-11T13:57:41Z
45.225.123.34,,266935,CENTROSULNET INFORMATICA EIRELI,BR,Antas,,,true,0.98,2021-03-03T12:36:21Z,2020-03-03T17:18:28Z
45.225.123.88,,266935,CENTROSULNET INFORMATICA EIRELI,BR,Antas,,,true,0.97,2021-03-03T12:36:17Z,2020-03-03T17:18:28Z
177.20.178.12,dynamic-177-20-178-12.egbt.net.br.,263035,PORTAL QUEOPS TELECOMUNICACOES E SERVICOS,BR,Piracicaba,,,false,0.83,2021-03-03T12:37:28Z,2020-04-25T18:33:27Z
